Student,Words Recalled,Avg night sleep(hrs)
1,5,5.71
2,5,7.14
3,3,4.86
4,5,7.14
5,5,6.14
6,,
7,3,6.93
8,1,7.36
9,5,5
10,5,7.71
11,5,6.71
